"id","rank","title","url","points","comments","scrape-date"
"43881035","1","We Fell Out of Love with Next.js and Back in Love with Ruby on Rails","https://hardcover.app/blog/part-1-how-we-fell-out-of-love-with-next-js-and-back-in-love-with-ruby-on-rails-inertia-js","108","46","2025-05-03 20:22:26"
"43880962","2","Show HN: Free, 100% in browser PDF editor","https://breezepdf.com","94","24","2025-05-03 20:22:26"
"43879702","3","Run LLMs on Apple Neural Engine (ANE)","https://github.com/Anemll/Anemll","155","70","2025-05-03 20:22:26"
"43880883","4","RethinkDNS Resolver That Deploys to CF Workers, Deno Deploy, Fastly, Fly.io","https://github.com/serverless-dns/serverless-dns","34","2","2025-05-03 20:22:26"
"43879715","5","QModem 4.51 Source Code","https://github.com/AaronFriel/qmodem-4.51","109","32","2025-05-03 20:22:26"
"43880973","6","Warren Buffett to Step Down from Berkshire Hathaway at Year-End","https://www.bloomberg.com/news/articles/2025-05-03/warren-buffett-to-step-down-from-berkshire-hathaway-at-year-end","162","66","2025-05-03 20:22:26"
"43877301","7","Accountability Sinks","https://250bpm.substack.com/p/accountability-sinks","467","292","2025-05-03 20:22:26"
"43879282","8","N8n – Flexible AI workflow automation for technical teams","https://n8n.io/","133","76","2025-05-03 20:22:26"
"43878728","9","Why can't HTML alone do includes?","https://frontendmasters.com/blog/seeking-an-answer-why-cant-html-alone-do-includes/","136","119","2025-05-03 20:22:26"
"43839145","10","Lessons from Building a Translator App That Beats Google Translate and DeepL","https://dingyu.me/blog/lessons-translator-app-beats-google-translate-deepl","22","7","2025-05-03 20:22:26"
"43880560","11","Burning Mao","https://granta.com/burning-mao/","34","5","2025-05-03 20:22:26"
"43877797","12","Minimum Viable Blog","https://ostwilkens.se/blog/setting-up-blog","260","126","2025-05-03 20:22:26"
"43880414","13","Stellar Sleep (YC S23) is hiring a product engineer in SF","https://www.ycombinator.com/companies/stellar-sleep/jobs/Yb9IzAW-founding-product-engineer","0","0","2025-05-03 20:22:26"
"43864589","14","'I found your dad': The mystery of a missing climber","https://www.espn.com/olympics/story/_/id/44690603/bill-stampfl-missing-climber-peru-huascaran","92","22","2025-05-03 20:22:26"
"43880554","15","MathML with Pandoc","https://leancrew.com/all-this/2025/05/mathml-with-pandoc/","14","0","2025-05-03 20:22:26"
"43878824","16","Closures in Tcl","https://world-playground-deceit.net/blog/2024/10/tcl-closures.html","64","14","2025-05-03 20:22:26"
"43879259","17","Why I ever wrote Clojure","https://thesoftwarephilosopher.com/blog/2025-05-03-why-i-ever-wrote-clojure.html","72","28","2025-05-03 20:22:26"
"43881283","18","Spain-Portugal blackouts: what happened","https://theconversation.com/spain-portugal-blackouts-what-actually-happened-and-what-can-iberia-and-europe-learn-from-it-255666","32","13","2025-05-03 20:22:26"
"43875230","19","The Craft 001: A conversation about craft, code, and freedom with Neal Agarwal","https://www.workingtheorys.com/p/the-craft-neal-agarwal","19","0","2025-05-03 20:22:26"
"43876566","20","Connomore64: Cycle exact emulation of the C64 using parallel microcontrollers","https://github.com/c1570/Connomore64","189","29","2025-05-03 20:22:26"
"43866670","21","Ghosts and Dolls","https://thelampmagazine.com/issues/issue-27/ghosts-and-dolls","3","0","2025-05-03 20:22:26"
"43878987","22","Show HN: Pipask – safer pip without compromising convenience","https://github.com/feynmanix/pipask","38","28","2025-05-03 20:22:26"
"43881065","23","Deadly Screwworm Parasite's Comeback Threatens Texas Cattle, US Beef Supply","http://www.bloomberg.com/news/features/2025-05-02/deadly-screwworm-parasite-s-comeback-threatens-texas-cattle-us-beef-supply","67","73","2025-05-03 20:22:26"
"43877907","24","We know a little more about Amazon's satellites","https://arstechnica.com/space/2025/05/we-finally-know-a-little-more-about-amazons-super-secret-satellites/","65","82","2025-05-03 20:22:26"
"43878461","25","Show HN: Use Third Party LLM API in JetBrains AI Assistant","https://github.com/Stream29/ProxyAsLocalModel","69","28","2025-05-03 20:22:26"
"43878878","26","Why I stopped angel investing after 15 years (and what I'm doing instead)","https://halletecco.substack.com/p/why-i-stopped-angel-investing-after","120","95","2025-05-03 20:22:26"
"43861253","27","The future of solar doesn't track the sun","https://terraformindustries.wordpress.com/2025/04/29/the-future-of-solar-doesnt-track-the-sun/","80","61","2025-05-03 20:22:26"
"43878191","28","Speedrunning and Modding the Incredibles: Rise of the Underminer","https://farlow.dev/2025/05/02/rotu","70","5","2025-05-03 20:22:26"
"43864442","29","What New Orleans Taught Me","https://commonedge.org/what-new-orleans-taught-me/","54","36","2025-05-03 20:22:26"
"43816546","30","Creating Bluey: Tales from the Art Director","https://substack.com/home/post/p-160039885","217","88","2025-05-03 20:22:26"
