"id","rank","title","url","points","comments","scrape-date"
"43879282","1","N8n – Flexible AI workflow automation for technical teams","https://n8n.io/","49","26","2025-05-03 15:33:38"
"43877301","2","Accountability Sinks","https://250bpm.substack.com/p/accountability-sinks","345","215","2025-05-03 15:33:38"
"43877797","3","Minimum Viable Blog","https://ostwilkens.se/blog/setting-up-blog","170","90","2025-05-03 15:33:38"
"43878878","4","Why I stopped angel investing after 15 years (and what I'm doing instead)","https://halletecco.substack.com/p/why-i-stopped-angel-investing-after","28","10","2025-05-03 15:33:38"
"43878987","5","Show HN: Pipask – safer pip without compromising convenience","https://github.com/feynmanix/pipask","16","1","2025-05-03 15:33:38"
"43878461","6","Show HN: Use Third Party LLM API in JetBrains AI Assistant","https://github.com/Stream29/ProxyAsLocalModel","48","11","2025-05-03 15:33:38"
"43878824","7","Closures in Tcl","https://world-playground-deceit.net/blog/2024/10/tcl-closures.html","25","2","2025-05-03 15:33:38"
"43878191","8","Speedrunning and Modding the Incredibles: Rise of the Underminer","https://farlow.dev/2025/05/02/rotu","51","1","2025-05-03 15:33:38"
"43878850","9","Time saved by AI offset by new work created, study suggests","https://arstechnica.com/ai/2025/05/time-saved-by-ai-offset-by-new-work-created-study-suggests/","90","77","2025-05-03 15:33:38"
"43876566","10","Connomore64: Cycle exact emulation of the C64 using parallel microcontrollers","https://github.com/c1570/Connomore64","171","21","2025-05-03 15:33:38"
"43878728","11","Seeking an Answer: Why can't HTML alone do includes?","https://frontendmasters.com/blog/seeking-an-answer-why-cant-html-alone-do-includes/","59","50","2025-05-03 15:33:38"
"43873531","12","Old Soviet Venus descent craft nearing Earth reentry","https://www.leonarddavid.com/old-soviet-venus-descent-craft-nearing-earth-reentry/","385","237","2025-05-03 15:33:38"
"43864442","13","What New Orleans Taught Me","https://commonedge.org/what-new-orleans-taught-me/","33","8","2025-05-03 15:33:38"
"43864589","14","'I found your dad': The mystery of a missing climber","https://www.espn.com/olympics/story/_/id/44690603/bill-stampfl-missing-climber-peru-huascaran","4","1","2025-05-03 15:33:38"
"43862189","15","The unusual mathematics that gives rose petals their shape","https://www.nature.com/articles/d41586-025-01394-4","14","0","2025-05-03 15:33:38"
"43816546","16","Creating Bluey: Tales from the Art Director","https://substack.com/home/post/p-160039885","194","62","2025-05-03 15:33:38"
"43870969","17","The language brain matters more for programming than the math brain? (2020)","https://massivesci.com/articles/programming-math-language-python-women-in-science/","387","379","2025-05-03 15:33:38"
"43879288","18","The US has approved CRISPR pigs for food","https://www.technologyreview.com/2025/05/02/1116059/the-us-approves-crispr-pigs-for-food/","11","2","2025-05-03 15:33:38"
"43873074","19","Show HN: I built a synthesizer based on 3D physics","https://anukari.com","453","107","2025-05-03 15:33:38"
"43876243","20","I put sheet music into smart glasses [video]","https://www.youtube.com/watch?v=j36u2i7PKKE","144","45","2025-05-03 15:33:38"
"43875416","21","GitDroid: A third party Android app manager for apps uploaded to GitHub releases","https://github.com/TechnicJelle/GitDroid","115","55","2025-05-03 15:33:38"
"43857405","22","Depictions of the Milky Way found in ancient Egyptian imagery","https://phys.org/news/2025-04-depictions-milky-ancient-egyptian-imagery.html","74","27","2025-05-03 15:33:38"
"43879277","23","Google Can Train Search AI with Web Content Even with Opt-Out","https://www.bloomberg.com/news/articles/2025-05-03/google-can-train-search-ai-with-web-content-even-after-opt-out","9","8","2025-05-03 15:33:38"
"43875505","24","ePub-utils: A Python library and CLI tool for inspecting ePub from the terminal","https://github.com/ernestofgonzalez/epub-utils","88","7","2025-05-03 15:33:38"
"43861566","25","Open-source AI platform for ear-based sensing applications","https://open-earable.teco.edu/","43","7","2025-05-03 15:33:38"
"43858136","26","PScientists reveal how bats learn to identify which prey is safe to eat","https://phys.org/news/2025-04-palatable-poisonous-scientists-reveal-prey.html","13","3","2025-05-03 15:33:38"
"43870819","27","Expanding on what we missed with sycophancy","https://openai.com/index/expanding-on-sycophancy/","230","251","2025-05-03 15:33:38"
"43879348","28","A memory of the nineteen nineties (1997)","https://web.archive.org/web/20100329052253/https://www.theatlantic.com/past/docs/issues/97nov/teller.htm","5","0","2025-05-03 15:33:38"
"43873604","29","A proof of concept tool to verify estimates","https://terrytao.wordpress.com/2025/05/01/a-proof-of-concept-tool-to-verify-estimates/","70","18","2025-05-03 15:33:38"
"43867403","30","What I've learned from jj","https://zerowidth.com/2025/what-ive-learned-from-jj/","186","86","2025-05-03 15:33:38"
