"id","rank","title","url","points","comments","scrape-date"
"43985513","1","Coding without a laptop: Two weeks with AR glasses and Linux on Android","https://holdtherobot.com/blog/2025/05/11/linux-on-android-with-ar-glasses/","236","92","2025-05-17 22:34:53"
"44016037","2","Mystical","https://suberic.net/~dmm/projects/mystical/README.html","100","9","2025-05-17 22:34:53"
"44016336","3","Directory of MCP Servers","https://github.com/chatmcp/mcpso","44","9","2025-05-17 22:34:53"
"44015872","4","Dead Stars Don't Radiate","https://johncarlosbaez.wordpress.com/2025/05/17/dead-stars-dont-radiate-and-shrink/","133","60","2025-05-17 22:34:53"
"44015367","5","How to have the browser pick a contrasting color in CSS","https://webkit.org/blog/16929/contrast-color/","117","39","2025-05-17 22:34:53"
"44014587","6","Palette lighting tricks on the Nintendo 64","https://30fps.net/pages/palette-lighting-tricks-n64/","170","28","2025-05-17 22:34:53"
"43984770","7","Espanso – Cross-Platform Text Expander Written in Rust","https://github.com/espanso/espanso","32","10","2025-05-17 22:34:53"
"44013157","8","Push Ifs Up and Fors Down","https://matklad.github.io/2023/11/15/push-ifs-up-and-fors-down.html","322","128","2025-05-17 22:34:53"
"44016356","9","Starship Troopers Revolutionize Warfighting","https://perfectingequilibrium.substack.com/p/starship-troopers-revolutionize-warfighting","20","21","2025-05-17 22:34:53"
"44015649","10","Show HN: I built a knife steel comparison tool","https://new.knife.day/blog/knife-steel-comparisons/all","80","63","2025-05-17 22:34:53"
"44016621","11","LLMs are more persuasive than incentivized human persuaders","https://arxiv.org/abs/2505.09662","60","48","2025-05-17 22:34:53"
"44016564","12","Understanding Transformers via N-gram Statistics","https://arxiv.org/abs/2407.12034","13","0","2025-05-17 22:34:53"
"44014046","13","O2 VoLTE: locating any customer with a phone call","https://mastdatabase.co.uk/blog/2025/05/o2-expose-customer-location-call-4g/","131","21","2025-05-17 22:34:53"
"43995501","14","How I fixed the infamous Basilisk II Windows ""Black Screen"" bug in 2013","https://www.downtowndougbrown.com/2025/05/how-i-fixed-the-infamous-basilisk-ii-windows-black-screen-bug-in-2013/","49","2","2025-05-17 22:34:53"
"43976274","15","Moment of heart's formation captured in images for first time","https://www.theguardian.com/science/2025/may/13/heart-cells-mouse-embryo-science-research","59","6","2025-05-17 22:34:53"
"44013913","16","Pyrefly: A new type checker and IDE experience for Python","https://engineering.fb.com/2025/05/15/developer-tools/introducing-pyrefly-a-new-type-checker-and-ide-experience-for-python/","132","100","2025-05-17 22:34:53"
"44015557","17","A Simulation in C++ of Joseph Weizenbaum's 1966 Eliza","https://github.com/anthay/ELIZA","22","4","2025-05-17 22:34:53"
"44016289","18","Xata: Postgres at scale, with copy-on-write branching and anonymization","https://xata.io/blog/xata-postgres-with-data-branching-and-pii-anonymization","15","1","2025-05-17 22:34:53"
"43987852","19","NASA Observes First Visible-Light Auroras at Mars","https://www.jpl.nasa.gov/news/nasa-observes-first-visible-light-auroras-at-mars/","24","3","2025-05-17 22:34:53"
"44017056","20","Unspoken Currency of Office Politics: Leverage and Sanction Between Coworkers","https://graphthinking.blogspot.com/2025/05/leverage-and-sanction-between-coworkers.html","4","0","2025-05-17 22:34:53"
"43988518","21","Remembering IBM Researcher Dick Garwin","https://research.ibm.com/blog/richard-garwin-obituary","3","1","2025-05-17 22:34:53"
"43997467","22","A library of words: Discovering Roget's Thesaurus (2023)","https://austinkleon.substack.com/p/a-library-of-words","11","2","2025-05-17 22:34:53"
"44015144","23","If nothing is curated, how do we find things","https://tadaima.bearblog.dev/if-nothing-is-curated-how-do-we-find-things/","116","80","2025-05-17 22:34:53"
"44017490","24","Google Chrome data leakage bug confirmed as actively exploited","https://www.scworld.com/news/google-chrome-bug-that-could-leak-sensitive-info-actively-exploited","5","0","2025-05-17 22:34:53"
"44016530","25","Wacom drawing tablets track the name of every application you open (2020)","https://robertheaton.com/2020/02/05/wacom-drawing-tablets-track-name-of-every-application-you-open/","65","30","2025-05-17 22:34:53"
"44012227","26","JavaScript's New Superpower: Explicit Resource Management","https://v8.dev/features/explicit-resource-management","279","176","2025-05-17 22:34:53"
"43993711","27","Japan's IC cards are weird and wonderful","https://aruarian.dance/blog/japan-ic-cards/","269","207","2025-05-17 22:34:53"
"44013671","28","OBNC – Oberon-07 Compiler","https://miasap.se/obnc/","61","16","2025-05-17 22:34:53"
"44011381","29","A kernel developer plays with Home Assistant","https://lwn.net/SubscriberLink/1017720/7155ecb9602e9ef2/","161","175","2025-05-17 22:34:53"
"44012615","30","Catalog of Novel Operating Systems","https://github.com/prathyvsh/os-catalog","140","54","2025-05-17 22:34:53"
