"id","rank","title","url","points","comments","scrape-date"
"43833310","1","ArkFlow: High-performance Rust stream processing engine","https://github.com/arkflow-rs/arkflow","65","10","2025-04-29 17:03:26"
"43835044","2","O3 Beats a Master-Level GeoGuessr Player–Even with Fake EXIF Data","https://sampatt.com/blog/2025-04-28-can-o3-beat-a-geoguessr-master","8","0","2025-04-29 17:03:26"
"43829035","3","LibreLingo – FOSS Alternative to Duolingo","https://librelingo.app","560","251","2025-04-29 17:03:26"
"43831705","4","Why performance optimization is hard work","https://purplesyringa.moe/blog/why-performance-optimization-is-hard-work/","104","24","2025-04-29 17:03:26"
"43835216","5","Hestus, Inc. (YC S24) Is Hiring an ML Engineer to Revolutionize CAD","https://www.ycombinator.com/companies/hestus-inc/jobs/WQVdwX8-machine-learning-engineer","0","0","2025-04-29 17:03:26"
"43834101","6","Firefox tab groups are here","https://blog.mozilla.org/en/firefox/tab-groups-community/","135","102","2025-04-29 17:03:26"
"43831524","7","Pyrefly - A faster Python type checker written in Rust","https://pyrefly.org/","76","42","2025-04-29 17:03:26"
"43831298","8","Show HN: A Chrome extension that will auto-reject non-essential cookies","https://blog.bymitch.com/posts/reject-cookies/","124","97","2025-04-29 17:03:26"
"43830193","9","Show HN: Flowcode – Turing-complete visual programming platform","https://app.getflowcode.io/playground/example1","128","56","2025-04-29 17:03:26"
"43825900","10","Qwen3: Think deeper, act faster","https://qwenlm.github.io/blog/qwen3/","775","352","2025-04-29 17:03:26"
"43827214","11","Why did Windows 7 log on slower for months if you had a solid color background?","https://devblogs.microsoft.com/oldnewthing/20250428-00/?p=111121","441","212","2025-04-29 17:03:26"
"43829006","12","A single line of code cost $8000","https://pietrasiak.com/one-line-of-code-that-did-cost-dollar8000","191","249","2025-04-29 17:03:26"
"43829490","13","Try Switching to Kagi","https://daringfireball.net/2025/04/try_switching_to_kagi","354","230","2025-04-29 17:03:26"
"43831363","14","Gaussian Splatting Meets ROS2","https://github.com/shadygm/ROSplat","27","9","2025-04-29 17:03:26"
"43830613","15","Generative AI is not replacing jobs or hurting wages at all, say economists","https://www.theregister.com/2025/04/29/generative_ai_no_effect_jobs_wages/","242","325","2025-04-29 17:03:26"
"43830544","16","How to build Intrinsic Motivation: a review of the science","https://erringtowardsanswers.substack.com/p/intrinsic-motivation","59","12","2025-04-29 17:03:26"
"43831142","17","Heart disease deaths worldwide linked to chemical widely used in plastics","https://medicalxpress.com/news/2025-04-heart-disease-deaths-worldwide-linked.html","145","69","2025-04-29 17:03:26"
"43826584","18","The One-Person Framework in Practice","https://link.mail.beehiiv.com/ss/c/u001.5SRwDQ9qxPQW8vmD5Do73b3R4eTCi2vXqPyztEk6wMFC9_fqEAcDVx6xEJ96T4BSMXrPS7z5exEBSTF4pF48z8SqJkJnkAwMUW9LtYdd8lWmvkDinT92nsk5HmXOHdWgLsysm9FMGrqmu7dnG57cXpga8ZOe8X0IV8pyeC3AswdRMaitfT307y7naP-_6W5CiolKhXCKrEndMGCW2PftFUu9ieYOxpVJ_fhu82gAh-4/4g1/wA_MG-I5SVCyR3KY66oEaQ/h30/h001.kLDFZMgisudi21zmTPbd_O8U7X98d4UxYqZjQTb_D7o","316","125","2025-04-29 17:03:26"
"43832765","19","One-sixth of the planet's cropland has toxic levels of one or more metals","https://english.elpais.com/science-tech/2025-04-17/one-sixth-of-the-planets-cropland-has-toxic-levels-of-one-or-more-metals.html","38","28","2025-04-29 17:03:26"
"43831602","20","After 53 years, a failed Soviet Venus spacecraft is crashing back to Earth","https://gizmodo.com/after-53-years-a-failed-soviet-venus-spacecraft-is-crashing-back-to-earth-2000595234","83","28","2025-04-29 17:03:26"
"43831708","21","What Is ""Induced Atmospheric Vibration""?","https://physics.stackexchange.com/questions/848666/what-is-induced-atmospheric-vibration","81","38","2025-04-29 17:03:26"
"43825336","22","One Million Chessboards","https://onemillionchessboards.com/#199,276","301","52","2025-04-29 17:03:26"
"43810211","23","Running Clojure in WASM with GraalVM","https://romanliutikov.com/blog/running-clojure-in-wasm","189","36","2025-04-29 17:03:26"
"43831667","24","Japan unveils first solar super-panel","https://www.japanenergyevent.com/media-insights-hub/industry-news/japan-unveils-world-s-first-solar-super-panel-more-powerful-than-20-nuclear-reactors/","71","39","2025-04-29 17:03:26"
"43815523","25","Ask HN: What are you working on? (April 2025)","https://news.ycombinator.com/item?id=43815523","355","1055","2025-04-29 17:03:26"
"43831628","26","Programming languages should have a tree traversal primitive","https://blog.tylerglaiel.com/p/programming-languages-should-have","73","74","2025-04-29 17:03:26"
"43819791","27","Widespread power outage in Spain and Portugal","https://www.bbc.com/news/live/c9wpq8xrvd9t","1483","1098","2025-04-29 17:03:26"
"43828131","28","Manuscript of Ismail al-Jazarī's Ingenious Mechanical Devices (ca. 17th century)","https://publicdomainreview.org/collection/arabic-machine-manuscript/","84","28","2025-04-29 17:03:26"
"43823044","29","Show HN: A pure WebGL image editor with filters, crop and perspective correction","https://github.com/xdadda/mini-photo-editor","231","74","2025-04-29 17:03:26"
"43829046","30","Implement Flash Attention Back End in SGLang – Basics and KV Cache","https://hebiao064.github.io/fa3-attn-backend-basic","27","2","2025-04-29 17:03:26"
