"id","rank","title","url","points","comments","scrape-date"
"43951588","1","One-Click RCE in Asus's Preinstalled Driver Software","https://mrbruh.com/asusdriverhub/","251","94","2025-05-11 12:05:25"
"43952714","2","The Epochalypse Project","https://epochalypse-project.org/","43","14","2025-05-11 12:05:25"
"43949542","3","Observations from people watching","https://skincontact.substack.com/p/21-observations-from-people-watching","288","149","2025-05-11 12:05:25"
"43951368","4","Fan Service","https://flak.tedunangst.com/post/fan-service","93","19","2025-05-11 12:05:25"
"43953200","5","Roame (YC S23) Is Hiring Lead Fullstack Engineer","https://www.ycombinator.com/companies/roame/jobs/oNlw7Nf-lead-full-stack-engineer","0","0","2025-05-11 12:05:25"
"43950046","6","Fandom sells Giant Bomb to independent creators","https://about.fandom.com/news/fandom-sells-giant-bomb-to-independent-creators","142","62","2025-05-11 12:05:25"
"43949238","7","Sierpiński Triangle? In My Bitwise and?","https://lcamtuf.substack.com/p/sierpinski-triangle-in-my-bitwise","169","40","2025-05-11 12:05:25"
"43945820","8","US vs. Google amicus curiae brief of Y Combinator in support of plaintiffs [pdf]","https://storage.courtlistener.com/recap/gov.uscourts.dcd.223205/gov.uscourts.dcd.223205.1300.1.pdf","375","755","2025-05-11 12:05:25"
"43930725","9","A brief history of the numeric keypad","https://www.doc.cc/articles/a-brief-history-of-the-numeric-keypad","25","7","2025-05-11 12:05:25"
"43914321","10","Crowd Sourcing Broken QR Codes","https://www.humanqr.com/news/qr-code-not-scanning-well-try-to-help/","18","10","2025-05-11 12:05:25"
"43947630","11","For $595, you get what nobody else can give you for twice the price (1982) [pdf]","https://s3data.computerhistory.org/brochures/commodore.commodore64.1982.102646264.pdf","201","113","2025-05-11 12:05:25"
"43948945","12","Show HN: Xenolab – Rasp Pi monitor for my pet carnivourus plants","https://github.com/blackrabbit17/xenolab","103","33","2025-05-11 12:05:25"
"43945993","13","A critical look at MCP","https://raz.sh/blog/2025-05-02_a_critical_look_at_mcp","492","271","2025-05-11 12:05:25"
"43951985","14","Absolute Zero: Reinforced Self-Play Reasoning with Zero Data","https://arxiv.org/abs/2505.03335","18","6","2025-05-11 12:05:25"
"43913414","15","Lazarus Release 4.0","https://forum.lazarus.freepascal.org/index.php?topic=71050.0","118","54","2025-05-11 12:05:25"
"43946824","16","Reverse engineering the 386 processor's prefetch queue circuitry","http://www.righto.com/2025/05/386-prefetch-circuitry-reverse-engineered.html","147","44","2025-05-11 12:05:25"
"43951737","17","On thinkers and doers (2022)","https://www.strangeloopcanon.com/p/on-thinkers-and-doers","21","12","2025-05-11 12:05:25"
"43915470","18","Strain gauge made out of PCB","https://github.com/vapetrov/PCB_strain_gauge","69","21","2025-05-11 12:05:25"
"43924082","19","An Introduction to Solid Queue for Ruby on Rails","https://blog.appsignal.com/2025/05/07/an-introduction-to-solid-queue-for-ruby-on-rails.html","3","0","2025-05-11 12:05:25"
"43950709","20","NetBSD 10.x Kernel Math_emulation","https://mezzantrop.wordpress.com/2025/02/04/netbsd-10-x-kernel-math_emulation/","40","1","2025-05-11 12:05:25"
"43949056","21","Why the Apple II Didn't Support Lowercase Letters (2020)","https://www.vintagecomputing.com/index.php/archives/2833/why-the-apple-ii-didnt-support-lowercase-letters","97","56","2025-05-11 12:05:25"
"43926713","22","When Suno covers my song (very useful) – a study with variations","http://rochus-keller.ch/?p=1350","40","5","2025-05-11 12:05:25"
"43918478","23","Engineers develop wearable heart attack detection technology","https://medicalxpress.com/news/2025-04-wearable-heart-technology.html","40","13","2025-05-11 12:05:25"
"43912164","24","The State of SSL Stacks","https://www.haproxy.com/blog/state-of-ssl-stacks","96","17","2025-05-11 12:05:25"
"43952707","25","Insurers launch cover for losses caused by AI chatbot errors","https://www.ft.com/content/1d35759f-f2a9-46c4-904b-4a78ccc027df","10","3","2025-05-11 12:05:25"
"43919429","26","VMware perpetual license holders receive cease-and-desist letters from Broadcom","https://arstechnica.com/gadgets/2025/05/broadcom-sends-cease-and-desist-letters-to-subscription-less-vmware-users/","29","10","2025-05-11 12:05:25"
"43949134","27","Show HN: LoopMix128 – Fast C PRNG (.46ns), 2^128 Period, BigCrush/PractRand Pass","https://github.com/danielcota/LoopMix128","59","31","2025-05-11 12:05:25"
"43944789","28","Embracer Games Archive is preserving 75000 video games and needs contributions","https://embracergamesarchive.com/","173","82","2025-05-11 12:05:25"
"43946149","29","Comparison of C/POSIX standard library implementations for Linux","https://www.etalabs.net/compare_libcs.html","121","42","2025-05-11 12:05:25"
"43934411","30","The Ecstatic Swoon","https://aeon.co/essays/what-stendhal-says-about-the-purpose-and-promise-of-art","5","2","2025-05-11 12:05:25"
