"id","rank","title","url","points","comments","scrape-date"
"43966843","1","Why National Labs are investing (heavily) in AI","https://www.lanl.gov/media/publications/1663/0125-qa-jason-pruet","67","29","2025-05-12 22:22:17"
"43964136","2","The Barbican","https://arslan.io/2025/05/12/barbican-estate/","324","126","2025-05-12 22:22:17"
"43964827","3","RIP Usenix ATC","https://bcantrill.dtrace.org/2025/05/11/rip-usenix-atc/","104","20","2025-05-12 22:22:17"
"43966089","4","Can you trust that permission pop-up on macOS?","https://wts.dev/posts/tcc-who/","86","56","2025-05-12 22:22:17"
"43966694","5","Build your own Siri locally and on-device","https://thehyperplane.substack.com/p/build-your-own-siri-locally-on-device","54","9","2025-05-12 22:22:17"
"43964505","6","Launch HN: ParaQuery (YC X25) – GPU Accelerated Spark/SQL","https://news.ycombinator.com/item?id=43964505","81","55","2025-05-12 22:22:17"
"43966471","7","Show HN: Lumoar – Free SOC 2 tool for SaaS startups","https://www.lumoar.com","35","21","2025-05-12 22:22:17"
"43965099","8","Byte latent transformer: Patches scale better than tokens","https://arxiv.org/abs/2412.09871","76","21","2025-05-12 22:22:17"
"43963868","9","Embeddings are underrated (2024)","https://technicalwriting.dev/ml/embeddings/overview.html","414","121","2025-05-12 22:22:17"
"43961908","10","A community-led fork of Organic Maps","https://www.comaps.app/news/2025-05-12/3/","255","174","2025-05-12 22:22:17"
"43965608","11","HealthBench","https://openai.com/index/healthbench/","106","76","2025-05-12 22:22:17"
"43962770","12","Ruby 3.5 Feature: Namespace on read","https://bugs.ruby-lang.org/issues/21311","150","73","2025-05-12 22:22:17"
"43963397","13","Reviving a modular cargo bike design from the 1930s","https://www.core77.com/posts/136773/Reviving-a-Modular-Cargo-Bike-Design-from-the-1930s","107","96","2025-05-12 22:22:17"
"43944007","14","5 Steps to N-Body Simulation","https://alvinng4.github.io/grav_sim/5_steps_to_n_body_simulation/","58","4","2025-05-12 22:22:17"
"43941068","15","The Acid King (2001)","https://www.rollingstone.com/feature/acid-lsd-king-william-leonard-pickard-prison-pete-wilkinson-184390/","27","19","2025-05-12 22:22:17"
"43940172","16","NASA Study Reveals Venus Crust Surprise","https://science.nasa.gov/science-research/astromaterials/nasa-study-reveals-venus-crust-surprise/","13","10","2025-05-12 22:22:17"
"43965161","17","Legion Health (YC S21) is hiring engineers to help fix mental health with AI","https://www.workatastartup.com/jobs/75011","0","0","2025-05-12 22:22:17"
"43964201","18","Show HN: Airweave – Let agents search any app","https://github.com/airweave-ai/airweave","99","24","2025-05-12 22:22:17"
"43963747","19","Demonstrably Secure Software Supply Chains with Nix","https://nixcademy.com/posts/secure-supply-chain-with-nix/","61","22","2025-05-12 22:22:17"
"43961226","20","Universe expected to decay in 10⁷⁸ years, much sooner than previously thought","https://phys.org/news/2025-05-universe-decay-years-sooner-previously.html","150","204","2025-05-12 22:22:17"
"43943673","21","Continuous glucose monitors reveal variable glucose responses to the same meals","https://examine.com/research-feed/study/1jjKq1/","127","75","2025-05-12 22:22:17"
"43964937","22","I hacked a dating app (and how not to treat a security researcher)","https://alexschapiro.com/blog/security/vulnerability/2025/04/21/startups-need-to-take-security-seriously","415","237","2025-05-12 22:22:17"
"43966064","23","Toward a Sparse and Interpretable Audio Codec","https://arxiv.org/abs/2505.05654","26","1","2025-05-12 22:22:17"
"43952042","24","Cory Arcangel Recovered a Late Artist's Digital Legacy","https://www.newyorker.com/culture/infinite-scroll/how-cory-arcangel-recovered-a-late-artists-digital-legacy","3","0","2025-05-12 22:22:17"
"43962148","25","University of Texas-led team solves a big problem for fusion energy","https://news.utexas.edu/2025/05/05/university-of-texas-led-team-solves-a-big-problem-for-fusion-energy/","194","144","2025-05-12 22:22:17"
"43962427","26","Show HN: CLI that spots fake GitHub stars, risky dependencies and licence traps","https://github.com/m-ahmed-elbeskeri/Starguard","86","51","2025-05-12 22:22:17"
"43945660","27","Why GADTs matter for performance (2015)","https://blog.janestreet.com/why-gadts-matter-for-performance/","46","16","2025-05-12 22:22:17"
"43967208","28","What if humanity forgot how to make CPUs?","https://twitter.com/lauriewired/status/1922015999118680495","24","36","2025-05-12 22:22:17"
"43962138","29","Spade Hardware Description Language","https://spade-lang.org/","99","51","2025-05-12 22:22:17"
"43962992","30","Tailscale 4via6 – Connect Edge Deployments at Scale","https://tailscale.com/blog/4via6-connectivity-to-edge-devices","85","21","2025-05-12 22:22:17"
