"id","rank","title","url","points","comments","scrape-date"
"44061160","1","Making the rav1d Video Decoder 1% Faster","https://ohadravid.github.io/posts/2025-05-rav1d-faster/","62","14","2025-05-22 13:42:31"
"44061836","2","Showh HN: SQLite JavaScript - extend your database with JavaScript","https://github.com/sqliteai/sqlite-js","11","0","2025-05-22 13:42:31"
"44060305","3","Planetfall","https://somethingaboutmaps.wordpress.com/2025/05/20/planetfall/","119","24","2025-05-22 13:42:31"
"44057820","4","Gemini Diffusion","https://simonwillison.net/2025/May/21/gemini-diffusion/","677","177","2025-05-22 13:42:31"
"44060772","5","Show HN: Curved Space Shader in Three.js (via 4D sphere projection)","https://github.com/bntre/CurvedSpaceShader","21","6","2025-05-22 13:42:31"
"44058778","6","The scientific “unit” we call the decibel","https://lcamtuf.substack.com/p/decibels-are-ridiculous","374","252","2025-05-22 13:42:31"
"44026364","7","Four years of sight reading practice","https://sandrock.co.za/carl/2025/05/four-years-of-sight-reading-pracice/","42","15","2025-05-22 13:42:31"
"44059411","8","Why does Debian change software?","https://blog.liw.fi/posts/2025/why-debian-changes/","188","109","2025-05-22 13:42:31"
"44020107","9","Inigo Quilez: computer graphics, mathematics, shaders, fractals, demoscene","https://iquilezles.org/articles/","195","22","2025-05-22 13:42:31"
"44060943","10","Robert Musil Forgotten Plays Inspired His Greatest Work of Fiction","https://lithub.com/the-austrian-writer-whose-forgotten-plays-inspired-his-greatest-work-of-fiction/","4","1","2025-05-22 13:42:31"
"44058299","11","Kotlin-Lsp: Kotlin Language Server and Plugin for Visual Studio Code","https://github.com/Kotlin/kotlin-lsp","126","73","2025-05-22 13:42:31"
"44057612","12","Display any CSV file as a searchable, filterable, pretty HTML table","https://github.com/derekeder/csv-to-html-table","172","34","2025-05-22 13:42:31"
"44035125","13","Hotspot: Linux `perf` GUI for performance analysis","https://github.com/KDAB/hotspot","55","11","2025-05-22 13:42:31"
"44051733","14","Devstral","https://mistral.ai/news/devstral","602","125","2025-05-22 13:42:31"
"44055347","15","For algorithms, a little memory outweighs a lot of time","https://www.quantamagazine.org/for-algorithms-a-little-memory-outweighs-a-lot-of-time-20250521/","293","86","2025-05-22 13:42:31"
"44049310","16","How we made our optical character recognition (OCR) code more accurate","https://pieces.app/blog/how-we-made-our-optical-character-recognition-ocr-code-more-accurate","17","17","2025-05-22 13:42:31"
"44057841","17","Getting a paper accepted","https://maxwellforbes.com/posts/how-to-get-a-paper-accepted/","156","74","2025-05-22 13:42:31"
"44027690","18","A lost decade chasing distributed architectures for data analytics?","https://duckdb.org/2025/05/19/the-lost-decade-of-small-data.html","148","56","2025-05-22 13:42:31"
"44026370","19","Everything's a Bug (Or an Issue)","https://www.bozemanpass.com/everythings-a-bug-or-an-issue/","3","0","2025-05-22 13:42:31"
"44060533","20","Strengths and limitations of diffusion language models – sean goedecke","https://www.seangoedecke.com/limitations-of-text-diffusion-models/","12","0","2025-05-22 13:42:31"
"44059122","21","Direct TLS can speed up your connections","https://marc-bowes.com/postgres-direct-tls.html","61","21","2025-05-22 13:42:31"
"44033711","22","CERN gears up to ship antimatter across Europe","https://arstechnica.com/science/2025/05/cern-gears-up-to-ship-antimatter-across-europe/","211","123","2025-05-22 13:42:31"
"44025459","23","Gemini figured out my nephew’s name","https://blog.nawaz.org/posts/2025/May/gemini-figured-out-my-nephews-name/","155","83","2025-05-22 13:42:31"
"44056659","24","ITXPlus: A ITX Sized Macintosh Plus Logicboard Reproduction","https://68kmla.org/bb/index.php?threads/itxplus-a-itx-sized-macintosh-plus-logicboard-reproduction.49715/","103","24","2025-05-22 13:42:31"
"44053560","25","Collaborative Text Editing Without CRDTs or OT","https://mattweidner.com/2025/05/21/text-without-crdts.html","253","67","2025-05-22 13:42:31"
"44051958","26","Animated Factorization (2012)","http://www.datapointed.net/visualizations/math/factorization/animated-diagrams/","261","56","2025-05-22 13:42:31"
"44027278","27","Show HN: Forge – Secure, Multi-Tenant GitHub Actions Runners on K8s or EC2","https://github.com/cisco-open/forge","6","4","2025-05-22 13:42:31"
"44056104","28","Rocky Linux 10 Will Support RISC-V","https://rockylinux.org/news/rockylinux-support-for-riscv","160","95","2025-05-22 13:42:31"
"44053518","29","OpenAI to buy AI startup from Jony Ive","https://www.bloomberg.com/news/articles/2025-05-21/openai-to-buy-apple-veteran-jony-ive-s-ai-device-startup-in-6-5-billion-deal","765","1042","2025-05-22 13:42:31"
"44053744","30","LLM function calls don't scale; code orchestration is simpler, more effective","https://jngiam.bearblog.dev/mcp-large-data/","249","90","2025-05-22 13:42:31"
