"id","rank","title","url","points","comments","scrape-date"
"43997636","1","Baby is healed with first personalized gene-editing treatment","https://www.nytimes.com/2025/05/15/health/gene-editing-personalized-rare-disorders.html","834","346","2025-05-16 08:50:48"
"44001087","2","Ollama's new engine for multimodal models","https://ollama.com/blog/multimodal-models","178","26","2025-05-16 08:50:48"
"43999748","3","A leap year check in three instructions","https://hueffner.de/falk/blog/a-leap-year-check-in-three-instructions.html","312","109","2025-05-16 08:50:48"
"44001765","4","The Awful German Language (1880)","https://faculty.georgetown.edu/jod/texts/twain.german.html","68","132","2025-05-16 08:50:48"
"43994486","5","Show HN: A free AI risk assessment tool for LLM applications","https://www.gettavo.com/app","17","0","2025-05-16 08:50:48"
"44000759","6","Teal – A statically-typed dialect of Lua","https://teal-language.org/","122","57","2025-05-16 08:50:48"
"44001391","7","Cracked - method chaining/CSS-style selector web audio library","https://github.com/billorcutt/i_dropped_my_phone_the_screen_cracked","50","15","2025-05-16 08:50:48"
"43998472","8","The unreasonable effectiveness of an LLM agent loop with tool use","https://sketch.dev/blog/agent-loop","337","222","2025-05-16 08:50:48"
"43975352","9","Material 3 Expressive: Better, Easier, Emotional UX","https://design.google/library/expressive-material-design-google-research","14","13","2025-05-16 08:50:48"
"44002522","10","Wasmer (YC S19) Is Hiring a Rust Compiler Engineer","https://www.workatastartup.com/jobs/15822","0","0","2025-05-16 08:50:48"
"43968693","11","Comma 3X: Initial Impressions","https://beesbuzz.biz/blog/14719-Comma-3X-Initial-impressions","29","3","2025-05-16 08:50:48"
"43999492","12","Initialization in C++ is bonkers (2017)","https://blog.tartanllama.xyz/initialization-is-bonkers/","146","123","2025-05-16 08:50:48"
"44002333","13","BuyMeACoffee silently dropped support for many countries, and nobody cares","https://zverok.space/blog/2024-08-08-bmac-snafu.html","164","139","2025-05-16 08:50:48"
"43974461","14","Náhuatl and Mayan Language Renaissance Occurring in Mexico","https://yucatanmagazine.com/mayan-language-renaissance/","45","1","2025-05-16 08:50:48"
"43972083","15","Archisuits (2005–2006)","https://insecurespaces.net/archisuits-2005-2006/","13","1","2025-05-16 08:50:48"
"43996555","16","Launch HN: Tinfoil (YC X25): Verifiable Privacy for Cloud AI","https://news.ycombinator.com/item?id=43996555","121","88","2025-05-16 08:50:48"
"43974872","17","Lock-Free Rust: How to Build a Rollercoaster While It's on Fire","https://yeet.cx/blog/lock-free-rust/","71","21","2025-05-16 08:50:48"
"44002536","18","Coinbase 8K SEC filing for breach","https://www.sec.gov/ix?doc=/Archives/edgar/data/1679788/000167978825000094/coin-20250514.htm","46","6","2025-05-16 08:50:48"
"43974344","19","Bringing 3D shoppable products online with generative AI","https://research.google/blog/bringing-3d-shoppable-products-online-with-generative-ai/","21","10","2025-05-16 08:50:48"
"43998707","20","Tek – A music making program for 24-bit Unicode terminals","https://codeberg.org/unspeaker/tek","126","13","2025-05-16 08:50:48"
"44000700","21","NASA keeps ancient Voyager 1 spacecraft alive with Hail Mary thruster fix","https://www.theregister.com/2025/05/15/voyager_1_survives_with_thruster_fix/","259","47","2025-05-16 08:50:48"
"43970057","22","GTK Krell Monitors","https://gkrellm.srcbox.net/","59","17","2025-05-16 08:50:48"
"43998049","23","Windsurf SWE-1: Our First Frontier Models","https://windsurf.com/blog/windsurf-wave-9-swe-1","72","12","2025-05-16 08:50:48"
"43998115","24","The current state of TLA⁺ development","https://ahelwer.ca/post/2025-05-15-tla-dev-status/","116","26","2025-05-16 08:50:48"
"43995005","25","A Tiny Boltzmann Machine","https://eoinmurray.info/boltzmann-machine","237","40","2025-05-16 08:50:48"
"43971442","26","Rolling Highway","https://en.wikipedia.org/wiki/Rolling_highway","38","21","2025-05-16 08:50:48"
"43998008","27","Dr. Dobb's Journal interviews Jef Raskin (1986)","https://computeradsfromthepast.substack.com/p/dr-dobbs-journal-interviews-jef-raskin","75","58","2025-05-16 08:50:48"
"43994765","28","Malicious compliance by booking an available meeting room","https://www.clientserver.dev/p/malicious-compliance-by-booking-an","343","325","2025-05-16 08:50:48"
"43994987","29","Show HN: Min.js style compression of tech docs for LLM context","https://github.com/marv1nnnnn/llm-min.txt","170","49","2025-05-16 08:50:48"
"43997932","30","“The Mind in the Wheel” lays out a new foundation for the science of mind","https://www.experimental-history.com/p/new-paradigm-for-psychology-just","81","64","2025-05-16 08:50:48"
