"id","rank","title","url","points","comments","scrape-date"
"43936408","1","Sofie: open-source web based system for automating live TV news production","https://nrkno.github.io/sofie-core/","51","3","2025-05-09 14:36:43"
"43936097","2","Show HN: Aberdeen – An elegant approach to reactive UIs","https://aberdeenjs.org/","81","30","2025-05-09 14:36:43"
"43936592","3","21 GB/s CSV Parsing Using SIMD on AMD 9950X","https://nietras.com/2025/05/09/sep-0-10-0/","44","13","2025-05-09 14:36:43"
"43935625","4","Data manipulations alleged in study that paved way for Microsoft's quantum chip","https://www.science.org/content/article/data-manipulations-alleged-study-paved-way-microsoft-s-quantum-chip","85","36","2025-05-09 14:36:43"
"43935394","5","Show HN: Hyvector – A fast and modern SVG editor","https://www.hyvector.com","111","24","2025-05-09 14:36:43"
"43936844","6","Show HN: Hyper – Standards first React alternative","https://nuejs.org/blog/standards-first-react-alternative/","14","7","2025-05-09 14:36:43"
"43933891","7","LegoGPT: Generating Physically Stable and Buildable Lego","https://avalovelace1.github.io/LegoGPT/","411","108","2025-05-09 14:36:43"
"43936468","8","Hollow Core Fiber (HCF)","https://www.holightoptic.com/what-is-hollow-core-fiber-hcf%ef%bc%9f/","12","7","2025-05-09 14:36:43"
"43936884","9","Itter.sh – Micro-Blogging via Terminal","https://www.itter.sh/","13","5","2025-05-09 14:36:43"
"43935434","10","Implementing a Struct of Arrays","https://brevzin.github.io/c++/2025/05/02/soa/","52","14","2025-05-09 14:36:43"
"43935913","11","NSF faces shake-up as officials abolish its 37 divisions","https://www.science.org/content/article/exclusive-nsf-faces-radical-shake-officials-abolish-its-37-divisions","123","108","2025-05-09 14:36:43"
"43935356","12","The Linux Kernel's PGP Web of Trust","https://blog.kleine-koenig.org/ukl/the-linux-kernels-pgp-web-of-trust.html","31","2","2025-05-09 14:36:43"
"43935586","13","Amazon's Vulcan Robots Now Stow Items Faster Than Humans","https://spectrum.ieee.org/amazon-stowing-robots","90","98","2025-05-09 14:36:43"
"43908220","14","A Taxonomy for Rendering Engines","https://c0de517e.com/021_taxonomy.htm","4","0","2025-05-09 14:36:43"
"43894967","15","Structuring Competency-Based Courses Through Skill Trees","https://arxiv.org/abs/2504.16966","18","3","2025-05-09 14:36:43"
"43936461","16","Reconstructing illusory camouflage patterns on moth wings using computer vision","https://royalsocietypublishing.org/doi/10.1098/rsif.2024.0757","4","0","2025-05-09 14:36:43"
"43936813","17","Dasung Paperlike 13K is a 13.3 inch E Ink color monitor","https://liliputing.com/dasung-paperlike-13k-is-a-13-3-inch-e-ink-color-monitor-crowdfunding/","15","1","2025-05-09 14:36:43"
"43898280","18","Zombieverter: Open source VCU for reusing salvage EV components","https://openinverter.org/wiki/ZombieVerter_VCU","49","10","2025-05-09 14:36:43"
"43933628","19","Dead Reckoning","https://www.damninteresting.com/dead-reckoning/","127","38","2025-05-09 14:36:43"
"43904546","20","Malaya's Timeless Design","https://www.linyangchen.com/Philately","42","5","2025-05-09 14:36:43"
"43934711","21","WASM 2.0","https://www.w3.org/TR/wasm-core-2/","177","80","2025-05-09 14:36:43"
"43909179","22","How ""Night of the Living Dead"" Accidentally Became Public Domain","https://screenrant.com/night-living-dead-movie-public-domain-copyright-accident/","39","32","2025-05-09 14:36:43"
"43933452","23","Starlink User Terminal Teardown","https://www.darknavy.org/blog/a_first_glimpse_of_the_starlink_user_ternimal/","220","71","2025-05-09 14:36:43"
"43933248","24","Audiobookshelf: Self-hosted audiobook and podcast server","https://www.audiobookshelf.org/","138","59","2025-05-09 14:36:43"
"43933511","25","Usenix ATC Announcement","https://www.usenix.org/blog/usenix-atc-announcement","91","8","2025-05-09 14:36:43"
"43931845","26","Fui: C library for interacting with the framebuffer in a TTY context","https://github.com/martinfama/fui","143","51","2025-05-09 14:36:43"
"43931409","27","A flat pricing subscription for Claude Code","https://support.anthropic.com/en/articles/11145838-using-claude-code-with-your-max-plan","200","227","2025-05-09 14:36:43"
"43927926","28","Void: Open-source Cursor alternative","https://github.com/voideditor/void","826","320","2025-05-09 14:36:43"
"43935707","29","CryptPad: An Alternative to the Google Suite","https://cryptpad.org/","9","0","2025-05-09 14:36:43"
"43934954","30","Linear Programming for Fun and Profit","https://modal.com/blog/resource-solver","34","6","2025-05-09 14:36:43"
